timestamp,source_ip,destination_ip,port,protocol,packet_count,duration,failed_attempts,label,source_ip_encoded,destination_ip_encoded,protocol_ICMP,protocol_TCP,protocol_UDP,port_scaled,packet_count_scaled,duration_scaled,failed_attempts_scaled,source_ip_encoded_scaled,destination_ip_encoded_scaled,hour,minute,is_business_hours,connection_frequency,unique_destination_count,unique_port_count,port_usage_count,avg_session_duration_by_ip,failed_attempts_by_ip,packets_per_second,anomaly_score,ml_prediction,ml_anomaly,detection_method
2026-04-01 00:07:00,10.0.1.39,172.16.0.50,8080,TCP,44.0,11.946,1,normal,167772455,2886729778,0,1,0,3.3578807502943304,-0.24686371424937098,1.4809947134304717,-0.1965250609147609,-0.3012480366295436,0.3963691783874664,0,7,0,5,5,3,1,3.929,3,3.6829329538796354,-0.012466776990943562,-1,True,machine_learning
2026-04-01 00:08:00,10.0.0.86,172.16.0.34,123,UDP,33.0,0.725,0,normal,167772246,2886729762,0,0,1,-0.39441668260245444,-0.28337867598959754,-1.132134283997419,-0.2889291708050942,-0.3012482703336057,-0.3014638959209065,0,8,0,10,10,6,1,5.1369,3,45.45454545454545,-0.022828677289371324,-1,True,machine_learning
2026-04-01 00:18:00,203.0.113.21,172.16.0.13,21,TCP,464.0,0.92,11,attack,3405803797,2886729741,0,1,0,-0.4425170141539779,1.1473439158320076,-1.086722987811835,0.7275160379885725,3.3195226704765974,-1.217369805950646,0,18,0,8,8,5,1,0.5983700000000001,281,503.800217155266,-0.10635678495096412,-1,True,machine_learning
2026-04-01 00:45:00,10.0.1.153,172.16.0.33,80,ICMP,32.0,9.146,0,normal,167772569,2886729761,1,0,0,-0.41469427335456727,-0.28669821796598177,0.8289350758938804,-0.2889291708050942,-0.30124790915460065,-0.34507846306517975,0,45,0,7,6,3,4,4.861,2,3.498414780802449,-0.002250083824249627,-1,True,machine_learning
2026-04-01 00:48:00,203.0.113.22,172.16.0.39,3389,TCP,518.0,0.624,49,attack,3405803798,2886729767,0,1,0,1.145737070802208,1.3265991825567565,-1.1556550066371318,4.238872213821239,3.3195226715947985,-0.08339106019953996,0,48,0,9,7,6,2,0.6967777777777777,398,828.8,-0.13033761967275614,-1,True,machine_learning
2026-04-01 00:49:00,10.0.1.73,172.16.0.12,80,ICMP,34.0,8.622,0,normal,167772489,2886729740,1,0,0,-0.41469427335456727,-0.2800591340132133,0.7069067722977466,-0.2889291708050942,-0.30124799861070095,-1.2609843730949193,0,49,0,10,9,5,3,7.0483,2,3.942943291197959,-0.01837109388321978,-1,True,machine_learning
2026-04-01 00:54:00,203.0.113.12,172.16.0.79,5900,UDP,1464.0,1.127,29,attack,3405803788,2886729807,0,0,1,2.3298540563500056,4.466885892216243,-1.0385171503225228,2.3907900160145723,3.3195226604127863,1.6611916255713923,0,54,0,9,9,4,3,0.4834355555555556,377,1297.872340425532,-0.1450958533351222,-1,True,machine_learning
2026-04-01 00:57:00,203.0.113.31,172.16.0.70,6667,TCP,1623.1199999999972,1.054,31,attack,3405803807,2886729798,0,1,0,2.691549686742344,4.995091411498493,-1.0555172765868694,2.575598235795239,3.31952268165861,1.2686605212729325,0,57,0,8,7,6,1,0.59862,257,1538.5023696682438,-0.14366024032253377,-1,True,machine_learning
2026-04-01 01:14:00,10.0.1.34,172.16.0.63,123,ICMP,27.0,4.131,1,normal,167772450,2886729791,1,0,0,-0.39441668260245444,-0.30329592784790294,-0.33895031062255077,-0.1965250609147609,-0.30124804222054985,0.9633585512630194,1,14,0,5,5,4,2,3.9838,2,6.5343659244917704,-0.010668999070563956,-1,True,machine_learning
2026-04-01 01:17:00,203.0.113.19,172.16.0.37,23,TCP,1251.0,0.204,12,attack,3405803795,2886729765,0,1,0,-0.44157387039806567,3.7598234512464,-1.2534639522676205,0.8199201478789058,3.319522668240195,-0.17062019448808655,1,17,0,5,4,3,2,0.567,185,6102.439024390244,-0.09944023001883207,-1,True,machine_learning
